Store,Phone,owner/manager's name,notes,Status,CONSOLIDATED_emails_valid,result,BEST_province,BEST_city,BEST_street,BEST_postal_code,INFO_email_status,emails/0,emails/1,email_found,domain,website,location/lat,location/lng,facebooks/0,instagrams/0,tiktoks/0,youtubes/0,
TUGWUG PET ACCESSORIES,437-858-5090,,,Not Qualified,tugwug.shop@gmail.com,,,ON,Toronto,1000 Mt Pleasant Rd,M4P 2M2,,,,tugwug.shop@gmail.com,tugwug.com,,43.7131539,-79.3922888,,,,
Uberdog Mount Pleasant,"416-485-0513, 416-421-2040",,,Not Qualified,"ranch@uberdog.ca, info@uberdog.ca",,,ON,Toronto,571 Mt Pleasant Rd A,M4S 2M5,,,ranch@uberdog.ca,info@uberdog.ca,uberdog.ca,,43.7033867,-79.3879214,https://www.facebook.com/uberdogpetservice,https://www.instagram.com/uberdog.ca,,
Unleash the Pawsitive,519-708-0470,,,Not Qualified,melissa@unleashthepawsitive.ca,,,ON,Port Elgin,"1119 Goderich St, Unit 6",N0H2C3,,,,melissa@unleashthepawsitive.ca,unleashthepawsitive.ca,,,,,,,
Urban Nature Store,416-646-2439,,,Not Qualified,donmills@urbannaturestore.ca,,,ON,North York,"Unit 3A, 900 Don Mills Rd.",M3C 1V6,,,donmills@urbannaturestore.ca,donmills@urbannaturestore.ca,urbannaturestore.ca,,43.7267876,-79.3425056,https://www.facebook.com/CanadaWildBirding,https://www.instagram.com/urbannaturestore,https://www.tiktok.com/@urban.nature.store,https://www.youtube.com/channel/UCF4xkcEOvhmTr3-8SJqeDJw
Value Village,"773-279-0850, 773-622-6654",,,Not Qualified,,,,MB,Winnipeg,1695 Ellice Ave,R2L 0Y2,,,,NONE_FOUND,savers.com,https://stores.savers.com/mb/winnipeg/valuevillage-thrift-store-2013.html,49.9004724,-97.0833023,https://www.facebook.com/savers,https://www.instagram.com/savers_thrift,,
Van Wart's Your Independent Grocer Kingston,613-542-3233,,,Not Qualified,,,,ON,Kingston,235 Gore Rd,K7L 2L6,,,,UNREACHABLE,yourindependentgrocer.ca,,44.258845,-76.455676,,,,
Vecado Plant-Based Pet Food,647-491-2035,,,Not Qualified,info@vecado.ca,,,ON,North York,3614R Victoria Park Ave,M2H 3B2,,,info@vecado.ca,UNREACHABLE,vecado.ca,,43.80679,-79.3386024,https://www.facebook.com/VecadoPetFood,https://instagram.com/vecadopetfood,,
Vina Pharmacy,416-469-5386,,,Not Qualified,,,,ON,Toronto,1025 Gerrard St E,M4M 1Z6,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Vina%20Pharmacy&query_place_id=ChIJa_j5Mn_L1IkRrldsd6XThGc,43.6687016,-79.3372575,,,,
Visit Online Store,647-990-1286,,,Not Qualified,,,,ON,East York,6 Grandstand Pl,M4H 1E4,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Visit%20Online%20Store&query_place_id=ChIJHSoeDpjN1IkRFSfU0mS1rzY,43.7035485,-79.3453664,,,,
Vquatics Aquarium - Japanese Koi | Fancy Goldfish | Tropical Fish,"647-728-1296, 778-480-2273",,,Not Qualified,,,,BC,Scarborough,585 Middlefield Rd #12a,M1V 4Y5,,,,INVALID_URL,,http://m.facebook.com/vquatics,43.81133,-79.258069,https://www.facebook.com/LePetitBistro15,,,
WAGSUP Dovercourt,"647-333-9553, 647-746-7174",Onvit,Spoke with employee Michaela. Waiting for email response,Not Qualified,"forkyork@wagsup.ca, franchising@wagsup.ca, office@wagsup.ca",,,ON,Toronto,11 Fort York Blvd,M6J 3C3,,,forkyork@wagsup.ca,"franchising@wagsup.ca, office@wagsup.ca",wagsup.com,http://www.wagsupgroom.ca/,43.6418302,-79.4219373,,https://www.instagram.com/wagsup.ca,,
Walkies Pet Sitting,204-952-2002,,,Not Qualified,info@walkiespetsitting.ca,good,ok,MB,Winnipeg,348 Centennial St,R3N 1P5,good,info@walkiespetsitting.ca,,,walkiespetsitting.ca,,49.8690926,-97.200441,www.facebook.com/walkiespetsittingwpg,www.instagram.com/walkiespetsittingwpg,,
Walmart Supercentre,"204-488-2052, 204-992-9750",,,Not Qualified,,,,MB,Winnipeg,1665 Kenaston Blvd,R3P 2M4,,,,NONE_FOUND,walmart.ca,,49.8237221,-97.1992962,https://www.facebook.com/walmartcanada,https://www.instagram.com/walmartcanada,,
Weller Pharmacy,613-507-9700,,,Not Qualified,,,,ON,Kingston,263 Weller Ave #2,K7K 6W9,,,,NONE_FOUND,wellerpharmacy.com,,44.2627,-76.4912261,https://www.facebook.com/wellerpharmacy,https://www.instagram.com/wellerpharmacy,,
West Coast Tropical Bird Studio Inc,604-733-6246,,,Not Qualified,sales@wctropicalbird.com,,,BC,Vancouver,1952 W Broadway,,,,,sales@wctropicalbird.com,www.wctropicalbird.com,,,,,,,
West Mall Variety,416-621-7485,,,Not Qualified,,,,ON,Etobicoke,555 Burnhamthorpe Rd #103,M9C 2Y3,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=West%20Mall%20Variety&query_place_id=ChIJh_opNyQ4K4gRIkJi-ixZVKE,43.6446289,-79.5680172,,,,
Westgrove Pharmacy and Compounding Centre,"416-966-5570, 289-402-5570",,,Not Qualified,,,,ON,Etobicoke,4740 Dundas St W,M9A 1A9,,,,NONE_FOUND,westgrovepharmacy.ca,,43.6529022,-79.5254618,https://www.facebook.com/westgroveclinicpharmacy,,,
Wetaskiwin Cooperative Association,780-352-6001,,,Not Qualified,,,,AB,Wetaskiwin,4707 40 Ave,T9A2B8,,,,NONE_FOUND,wetaskiwinco-op.crs,,,,,,,
White Feather Country Store,905-655-4752,,,Not Qualified,whitefeatherfarms@hotmail.com,good,ok,ON,Oshawa,15 Raglan Rd E,L1H 0M9,good,whitefeatherfarms@hotmail.com,,,whitefeathercountrystore.ca,,44.0179964,-78.9250419,,,,
WildPaws Pantry,905-553-5999,,,Not Qualified,,,,ON,Vaughan,2620 Rutherford Road,L4K 0H1,,,,NONE_FOUND,wildpawspantry.ca,,,,,,,
Windsor Park Convenience & Cannabis Store,204-233-6459,,,Not Qualified,,,,MB,Winnipeg,845 Elizabeth Rd,R2J 1A5,,,,INVALID_URL,,https://www.facebook.com/profile.php?id=61560657202675&mibextid=LQQJ4d,49.8713384,-97.083486,,,,
Wine Rack,"416-423-9768, 877-919-7587",,,Not Qualified,"customersupport@winerack.com, customerservice@winerack.com",good,ok,ON,Toronto,1862 Danforth Ave,M4C 1J4,good,customersupport@winerack.com,customerservice@winerack.com,,winerack.com,,43.6848989,-79.3173067,https://www.facebook.com/winerackcanada,https://www.instagram.com/winerackcanada/,,
Winnipeg Pet Treatery,"204-333-5138, 204-283-7928",Larry,,Not Qualified,winnipegpettreatery@gmail.com,good,ok,MB,Winnipeg,224 Wharton Blvd,R2Y 0T2,good,winnipegpettreatery@gmail.com,,,winnipegpettreatery.ca,,49.8892123,-97.2902666,https://www.facebook.com/PetAffection,https://www.instagram.com/petaffection,,
Winnipeg Reptiles,204-632-6614,,,Not Qualified,info@winnipegreptiles.com,good,ok,MB,Winnipeg,6-1692 Dublin Ave,R3H 1A8,good,info@winnipegreptiles.com,,,winnipegreptiles.com,,49.9109947,-97.2031826,,,,
Wongs Aquarium,416-461-5362,,,Not Qualified,,,,ON,Toronto,590 Gerrard St E,M4M 1Y3,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Wongs%20Aquarium&query_place_id=ChIJaYzB_WXL1IkRhOLjpksbI-8,43.665669,-79.3521514,,,,
Woodada,,,,Not Qualified,"info@woodada.ca, your@email.com",,,ON,Mississauga,2211 Sherobee Rd,L5A 2H5,,,,"info@woodada.ca, your@email.com",woodada.ca,,43.5734213,-79.6040173,,https://www.instagram.com/woodada_ca,,
Woof Gang Bakery,647-348-9990,,,Not Qualified,,,,ON,Toronto,1005 King St W,M6K 3M8,,,,INVALID_URL,,"https://maps.google.com/maps?q=43.6413424,-79.414705",,,,,,
Yahawa Fashion and Accessories,647-551-2823,,,Not Qualified,,,,ON,Toronto,35 Church St #500,M5E 1T3,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Yahawa%20Fashion%20and%20Accessories&query_place_id=ChIJja0-U2nL1IkRMXbvc4FyEa0,43.649187,-79.3737463,,,,
Your Neighbourhood Pet Store,,,,Not Qualified,,,,ON,Toronto,,M6K 3G3,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Your%20Neighbourhood%20Pet%20Store&query_place_id=ChIJFaHVgQM1K4gRLci5F_W4Zzg,43.6383301,-79.4169421,,,,
YUPP MuttBalls,"416-209-1817, 416-248-6411",,,Not Qualified,"sales@yuppc.com, your@email.com",,,ON,Toronto,1 Kingsmill Rd,M8X 2N7,,,sales@yuppc.com,your@email.com,yuppc.com,,43.6494162,-79.5029957,https://www.facebook.com/yuppmuttballs,https://www.instagram.com/yuppmuttballs,,
A5 Pet & Bird Depot,705-426-7324,,,Not Interested,,,ON,Beaverton,443 Mara Road,L0K 1A0,,,,INVALID_URL,,"https://maps.google.com/maps?q=44.434643,-79.1508371",,,,,,,
Bark & Meow Pet Supplies,416-532-2275,,,Not Interested,712barkmeow@gmail.com,ok,ON,Toronto,712 Bloor St W,M6G 1L4,good,712barkmeow@gmail.com,,,barkmeow.ca,,43.6638534,-79.4179292,https://www.facebook.com/712barkmeow,https://www.instagram.com/barkmeowpet,,,
Birds 'n Paws,613-546-6777,,,Not Interested,birdsnpaws@hotmail.com,ok,ON,Kingston,79 Brock St,K7L 1R8,good,birdsnpaws@hotmail.com,,,birdsnpaws.com,,44.2306806,-76.4823485,https://www.facebook.com/birdsnpaws,https://www.instagram.com/birds.n.paws,,,
Blue Ribbon Pet Supplies,604-531-2311,Shannon,,Not Interested,,,BC,Surrey,220 - 15355 24Th Ave,V4A 2H9,,,,INVALID_URL,,"https://maps.google.com/maps?q=49.045543,-122.798048",,,,,,,
Casey & Co,250-746-5542,Scott,,Not Interested,,,BC,Cobble Hill,22. 1400 Cowichan Bay Rd,V0R 1L3,,,,INVALID_URL,,"https://maps.google.com/maps?q=48.7110797,-123.6071668",,,,,,,
Chopper's Pet Supplies,250-342-7387,Cindy,,Not Interested,,,BC,Invermere,1020 - 8 Ave,V0A 1K0,,,,INVALID_URL,,"https://maps.google.com/maps?q=50.5046793,-116.0301304",,,,,,,
Chow Time Pet Supply,807-468-7257,,,Not Interested,,,ON,Kenora,807 Highway #17 East,P9N 1L9,,,,UNREACHABLE,chowtimepets.ca,,,,,,,,
Endless Tails Pet Nutrition Centre,905-290-0378,,,Not Interested,,,ON,Mississauga,1891 Rathburn Road E,L4W 3Z3,,,,UNREACHABLE,endlesstailspet.ca,,,,,,,,
Fetch Pet Boutique,416-237-0334,Amanda,Very Small and does not sell that much cat litter so not interested but qualified,Not Interested,GROOMING@FETCHPETBOUTIQUE.CA,,ON,Etobicoke,1500 Islington Ave Unit 5,M9A 3L7,,,GROOMING@FETCHPETBOUTIQUE.CA,UNREACHABLE,fetchpetboutique.ca,,43.6627211,-79.5320454,,https://www.instagram.com/fetch.petboutique,,,
Firetail Pets,604-390-0727,Cindy - Manager,,Not Interested,,,BC,Squamish,40208 Glenalder place,V8B 0G2,,,,NONE_FOUND,firetailpets.com,,,,,,,,
Happy Cat Feline Essentials,604-873-4141,,Scaling down. Do not want new prods,Not Interested,meow@happycatvancouver.com,,BC,Vancouver,4171 Fraser St,,,,,meow@happycatvancouver.com,happycatvancouver.com,,,,,,,,
Harmony Pet Supplies,647-476-4797,Kumar,,Not Interested,petsuppliesharmony@gmail.com,ok,ON,Scarborough,3255 Lawrence Ave E Unit#3,M1H 3A3,good,petsuppliesharmony@gmail.com,,,harmonypetsupplies.com,,43.7563238,-79.239609,https://www.facebook.com/profile.php?id=61570921702731,https://www.instagram.com/harmony_petsupplies,,,
Jupako,647-457-5767,,Same company as PawsNatural,Not Interested,,invalid,ON,North York,20 Olive Ave,M2N 7G5,bad,info@jupako.ca,,,jupako.ca,,43.7791641,-79.4145146,https://www.facebook.com/profile.php?id=61550346014612,https://www.instagram.com/jupako_official,,,
Kennel Cafe,"416-531-3177, 647-350-3733",,,Not Interested,,,ON,Toronto,2362 Lakeshore Blvd West,M6R 2M3,,,,UNREACHABLE,kennel-cafe-corporation.business.site,,,,,,,,
"Kennel Cafe - Lakeshore, Etobicoke & Online","416-531-3177, 647-350-3733",Amanda,,Not Interested,,,ON,Etobicoke,2362 Lake Shore Blvd W,M8V 1B6,,,,NONE_FOUND,kennelcafe.com,,43.6161834,-79.4882375,https://www.facebook.com/Kennel-Caf,http://www.instagram.com/kennelcafe,,,
Kennel Cafe - Roncesvalles & Online,416-531-3177,,"Spoke to Tiffany, Employee. Did not provide any names for Managers",Not Interested,kennelcafe2@gmail.com,ok,ON,Toronto,285 Roncesvalles Ave,M6R 2M3,good,kennelcafe2@gmail.com,,,kennel-cafe-9618.myshopify.com,,43.6476237,-79.4492493,,https://www.instagram.com/kennelcafe,,,
Lucky's Pet Supply,250-493-3647,,,Not Interested,,,BC,Penticton,104-2100 Main Street,V2A 5H7,,,,INVALID_URL,,https://www.facebook.com/LuckysPetSupply/,,,,,,,
M+J Happy Pet,905-990-8882,Josie,,Not Interested,mjhappypet@rogers.com,,ON,Mississauga,360 Revus Avenue,L5G 4S4,,,,mjhappypet@rogers.com,happypetproducts.ca,,,,,,,,
Miaowupets,365-888-2513,,,Not Interested,,,ON,North York,2193 Sheppard Avenue East,M2J 1W8,,,,INVALID_URL,,"https://maps.google.com/maps?q=43.7748051,-79.3302359",,,,,,,
Miaowupets Pet Store,437-435-8893,,,Not Interested,,,ON,North York,2193 Sheppard Ave E,M2J 0E4,,,,NONE_FOUND,,https://booking.moego.pet/ol/Miaowupets/book,43.7748051,-79.3302359,,,,,
MokaPetStudio摩卡宠物会所,416-546-0687,,Advised to call next month,Not Interested,,,ON,North York,5496 Yonge St,M2N 7L3,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=MokaPetStudio%E6%91%A9%E5%8D%A1%E5%AE%A0%E7%89%A9%E4%BC%9A%E6%89%80&query_place_id=ChIJTWVNnw0tK4gRox03LukbzM0,43.7781724,-79.4154982,,,,,
myPet Shop on Yonge,416-528-1788,,,Not Interested,kesooni@mypetshoponyonge.com,catch_all,ON,North York,4720 Yonge St,M2N 5M4,risky,kesooni@mypetshoponyonge.com,,,mypetshoponyonge.ca,,43.7593766,-79.4108118,https://www.facebook.com/mypetshoponyonge,https://www.instagram.com/mypetshopyonge/,,,
Oly's Pet Connection,"604-746-1410, 604-392-5515",Cirk - Ownder Barb - Manager,Spoke with Nickena. Owner will be in the shop tomorrow at 9am. Called back was advised that they told owner but not interested,Not Interested,,,BC,Abbotsford,103-34150 South Fraser Way,V2S 2C6,,,,NONE_FOUND,olyspetconnection.com,,,,,,,,
Otis & Allen,905-335-7036,Rick,,Not Interested,,,ON,Burlington,2500 Appleby Line,L7L 0A2,,,,INVALID_URL,,"https://maps.google.com/maps?q=43.405754,-79.806992",,,,,,,
PAWLAND,416-205-9393,,,Not Interested,,,ON,Toronto,748 Mt Pleasant Rd,M4S 2N6,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=PAWLAND&query_place_id=ChIJQyqYxC8zK4gREwc7aAStRmY,43.707329,-79.3901144,,,,,
Pawsitively Purrfect Pet Spa Ltd.,403-258-3322,Dana - manager,Spoke with Peyton (employee). Sent us an email but saying not interested,Not Interested,,,AB,Calgary,175-755 Lake Bonavista Dr. Se,T2J 0N3,,,,UNREACHABLE,pawsitivelypurrfectpetspa.com,,,,,,,,
Pet Buddies Store,437-788-5058,,,Not Interested,,,ON,Toronto,118 Balliol St,M4S 0A9,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Pet%20Buddies%20Store&query_place_id=ChIJQ88sYcEzK4gRqHWsw8_9jbM,43.6984397,-79.3927925,,,,,
Pet Junction 7954,204-638-3655,,,Not Interested,,,MB,Dauphin,13 Second Avenue Nw,R7N 1H1,,,,INVALID_URL,,"https://maps.google.com/maps?q=51.150559,-100.049899",,,,,,,
Pet Solutions Canada,416-787-3200,,,Not Interested,,,ON,North York,3350 Dufferin St,M6A 3A4,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Pet%20Solutions%20Canada&query_place_id=ChIJVbTx8TIyK4gRyQ6_-IF0AMs,43.7243957,-79.4573495,,,,,
PETFUDE.ca,604-533-5343,Anette,Only wants if through a distrubutor,Not Interested,,,BC,Langley,4131 200 ST.,V3A 1K8,,,,NONE_FOUND,petfude.ca,,,,,,,,
PETPLS Café and Supply,236-234-4488,,,Not Interested,info@petpls.ca,,BC,Richmond,"6386 No 3 Road, Suite165",V6Y 2B3,,,,info@petpls.ca,petpls.ca,,,,,,,,
Pets N Us,604-943-0908,,Spoke with Lea. Didn't want to provide any info,Not Interested,,,BC,Tsawwassen,1302A 56 St.,V4L 2A6,,,,NONE_FOUND,petsnus.ca,,,,,,,,
Small Wonders Pets,416-462-3773,,,Not Interested,smallwonderstoronto@gmail.com,ok,ON,Toronto,148 Danforth Ave,M4K 1N1,good,smallwonderstoronto@gmail.com,,,smallwonderspets.com,,43.676609,-79.357586,,,,,
Trim's Pet Store,613-590-7551,,,Not Interested,"info@trimspetstore.ca, sales@trimspetstore.com",,ON,Ottawa,2010 Trim Rd. Unit #13,K4A 0G4,,,,"info@trimspetstore.ca, sales@trimspetstore.com",trimspetstore.com,,,,,,,,
Tyrannosaurus Pets,613-779-0707,Rob,Spoke with Rob. Qualified but not interested.,Not Interested,,,ON,Belleville,296 Front Street,K8N 2Z8,,,,INVALID_URL,,"https://maps.google.com/maps?q=44.166207,-77.385914",,,,,,,
Victoria Feeds The Horse & Hound,705-878-1337,Holly,Fran,Not Interested,thehorseandhound@gmail.com,,ON,Lindsay,4 Willowdale Court,K9V 4R4,,,,thehorseandhound@gmail.com,victoriafeedsthehorseandhound.com,,,,,,,,
Animal House,519-632-5048,Jeff - Manager,Spoke with Jeff. Send an email,Interested,ayranimalhouse.inc@gmail.com,ok,ON,Ayr,1202 Northumberland,N0B 1E0,good,ayranimalhouse.inc@gmail.com,,,,"https://maps.google.com/maps?q=43.305045984312265,-80.47146059796141",,,,,,,
Fur and Friends Pet Shop,519-497-0923,Andrew,Email Sent,Interested,"furryfriendsburwell@gmail.com, andrewingalls@hotmail.com",ok,ON,North York,Yonge St,M2N 5X2,good,furryfriendsburwell@gmail.com,andrewingalls@hotmail.com,,,https://www.google.com/maps/search/?api=1&query=Fur%20and%20Friends%20Pet%20Shop&query_place_id=ChIJDzFY5gQtK4gRmXpyamcrUns,43.7623436,-79.4112296,,,,,
Lighthouse Feed And Garden,250-757-8090,Brian,"Spoke with owner. Busy, has customer. Asked for info via email",Interested,lhfg@shaw.ca,ok,BC,Bowser,7015 Island Hwy W,V0R 1G0,good,lhfg@shaw.ca,,,,"https://maps.google.com/maps?q=49.445122,-124.688367",,,,,,,
PawFur,647-855-0788,Om,,Interested,ompatel2942@gmail.com,ok,ON,North York,1200 York Mills Rd,M3A 1X8,good,ompatel2942@gmail.com,,,,https://www.google.com/maps/search/?api=1&query=PawFur&query_place_id=ChIJsR5eIo3T1IkRmKlRTFTaRv4,43.7597833,-79.3349226,,,,,
Paws Claws and Hooves,403-870-5233,Tim,Spoke with the Tim,Interested,pcandhpets@gmail.com,ok,AB,Blairmore,"#1, 12817 23 Avenue",T0K 0E0,good,pcandhpets@gmail.com,,,,"https://maps.google.com/maps?q=49.6104513,-114.4382018",,,,,,,
Pet Country Market,289-566-8400,Joe,Spoke with Maddy. Sells a lot of Cat Litter. Send an email,Interested,info@petcountrymarket.com,ok,ON,Beamsville,"4548 Ontario Street, Unit 1",L0R 1B5,good,info@petcountrymarket.com,,,,"https://maps.google.com/maps?q=43.1779761,-79.4775073",,,,,,,
Pet saga,647-897-1707,Krishna,Online Service. Has a warehouse and delivers,Interested,mvamsikrishna2012@gmail.com,ok,ON,Scarborough,25 Bay Mills Blvd,M1T 3P4,good,mvamsikrishna2012@gmail.com,,,,https://www.google.com/maps/search/?api=1&query=Pet%20saga&query_place_id=ChIJm9Z6MALT1IkRTk1zwmkckVY,43.7808981,-79.3043971,,,,,
Puppy Chappy,416-221-6334,Helen,,Interested,Helenkwak2005@yahoo.com,unknown,ON,North York,15 Northtown Way Unit 26-27,M2N 7A2,risky,Helenkwak2005@yahoo.com,,,puppychappy.com,,43.7753484,-79.4131517,,,,,
The Pet Store Yonge St,416-929-0202,Jade,Waiting for email response,Interested,,,ON,Toronto,647 Yonge St,M4Y 1Z9,,,,UNREACHABLE,thepetstoreto.com,,43.6678654,-79.3856523,,,,,
Urban Paw Pets,604-733-3390,Furkan,Asked for info and seems really interested. Provided their email and asked to be sent more info,Interested,info@urbanpawpets.com,ok,BC,Vancouver,2637 W 4th Ave,,good,info@urbanpawpets.com,,,www.urbanpawpets.com,,,,,,,,
Vanderveen Hay Sales Ltd,604-576-1177,Olivia - manager,Spoke to Olivia. Sent us an email. Responded,Interested,store@telus.net,ok,BC,Surrey,18726 56th Avenue,V3S 1G1,,,,store@telus.net,vanderveenhay.com,,,,,,,,
888 Dog Shop,604-559-5606,,,Dog Store,"Gastownezdog@gmail.com, eben@eyebytes.com, filler@godaddy.com, lemonad@jovanny.ru",,,BC,Vancouver,103 E Pender St,,,,,"Gastownezdog@gmail.com, eben@eyebytes.com, filler@godaddy.com, lemonad@jovanny.ru",ezdog.ca,,,,,,,
Antler World Dog Products,204-219-1928,Kira,Spoke with Danica (employee). Owner is not in. Sent us an email and replied to,Dog Store,antlerworlddogproducts@gmail.com,good,ok,MB,Winnipeg,1555 Regent Ave W TK18,R2C 4J2,risky,contact@antlerworlddogproducts.com,,,antlerworlddogproducts.com,,49.8990648,-97.0596649,,https://www.instagram.com/antlerworlddogproducts,,
Augie Doggy,905-493-3641,Barry,Busy. Advised to send email. Email sent,Dog Store,augiedoggy817@gmail.com,good,ok,ON,Whitby,817 Dundas Street West Whitby,L1N 2N6,,,,UNREACHABLE,augiedoggy.ca,,,,,,,
Augie Doggy,289-240-4202,,,Dog Store,,,,ON,Oshawa,419 King Street,L1J 2K5,,,,INVALID_URL,,"https://maps.google.com/maps?q=43.8919982,-78.8809901",,,,,,
Big Dog Little Dog Bakery,604-299-3644,,VM,Dog Store,,,,BC,Burnaby,4631 Hastings St.,V5C 2K6,,,,NONE_FOUND,bigdoglittledog.com,,,,,,,
Big Dog Raw Foods,416-835-4524,,,Dog Store,,,,ON,North York,83 Lilac Ave,M9M 1G4,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Big%20Dog%20Raw%20Foods&query_place_id=ChIJ0TxlIXwxK4gR4gklWXg4eq8,43.7193174,-79.5412227,,,,
Canine Perfection Dog Show Supplies,778-982-3093,,,Dog Store,,,,BC,Mission,32385 Diamond Ave,V2V 1M2,,,,INVALID_URL,,"https://maps.google.com/maps?q=49.137237,-122.327929",,,,,,
Cat Nap & Lazy Dog Pet Outfitters,613-756-5328,,Refuse de décrocher c'est un profil ANGLAIS,Dog Store,info@catnaplazydog.com,,,ON,Barrys Bay,19569 Opeongo Line,K0J 1B0,,,,info@catnaplazydog.com,catnaplazydog.com,,45.4884965,-77.6796097,,,,
Clip And Tails Doggie Day Spa & Pet Store,519-622-3023,,,Dog Store,,,,ON,Cambridge,30 Glamis Road,N1R 7H5,,,,INVALID_URL,,"https://maps.google.com/maps?q=43.381581,-80.306211",,,,,,
Crazy Dog Dehydrated Treats,902-880-4966,,,Dog Store,,,,NS,Mount Uniake,75 Richard John Drive,B0N 1Z0,,,,INVALID_URL,,"https://maps.google.com/maps?q=44.8600612,-63.8085979",,,,,,
Cuba Gear Dog Collars,416-658-2822,,,Dog Store,,,,ON,Toronto,15 Boston Ave,M4M 2T8,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Cuba%20Gear%20Dog%20Collars&query_place_id=ChIJLZdDHHfL1IkRKuuT7u5yAis,43.6620408,-79.3388725,,,,
Dapper Dogs,204-668-9663,,VM,Dog Store,info@dapperdogs.ca,risky,catch_all,MB,Winnipeg,271 Grassie Blvd,R2G 2L7,risky,info@dapperdogs.ca,,,dapperdogs.ca,,49.9231911,-97.0489884,https://www.facebook.com/dapperdogswinnipeg,https://www.instagram.com/dapperdogs.winnipeg,,
"Designer Doggie - Best Pet Store in Mississauga For Dog, Cat & Birds",647-202-9666,,Spoke with tiffany. Owner will be available by 2:30 - 3pm,Dog Store,,,,ON,Mississauga,1065 Canadian Pl #107,L4W 0C2,,,,NONE_FOUND,designerdoggie.ca,,43.6273776,-79.6276898,,,,
Discover Dogs,604-428-3647,Jake and Tanya,Bre - retail manager. Spoke with Miguel (employee). Email replied to.,Dog Store,hello@discoverdogs.ca,good,ok,BC,Vancouver,386 W 8th Ave,,,,,hello@discoverdogs.ca,discoverdogs.ca,,,,,,,
Dog Bonds,,,,Dog Store,,,,BC,Vancouver,838 W Hastings St #801,,,,,UNREACHABLE,dogbonds.com,,,,,,,
Dog Care Wonderland,416-546-0687,,,Dog Store,,,,ON,Toronto,5496 Yonge Street,M2N 7L3,,,,INVALID_URL,,"https://maps.google.com/maps?q=43.778009,-79.415353",,,,,,
Dog E Gear,613-869-2275,,,Dog Store,"info@ottawak9connection.com, info@ottawak9connection.com.com, sales@dogegear.com",,,ON,Ottawa,4666 Anderson Rd,K0A 1K0,,,,"info@ottawak9connection.com, info@ottawak9connection.com.com, sales@dogegear.com",dogegear.com,,,,,,,
Dog Gone Good Goodies LLC,802-988-4433,,,Dog Store,,,,,Jay,381 N Jay Rd,,,,,INVALID_URL,,https://www.facebook.com/p/Dog-Gone-Good-Goodies-LLC-100057237019120/,,,,,,
Dog Park Bistro,416-252-9696,,,Dog Store,,,,ON,Etobicoke,98 Marine Parade Drive,M8V 4G1,,,,INVALID_URL,,"https://maps.google.com/maps?q=43.625420024678675,-79.47749831345004",,,,,,
Dog Riches eStore,647-547-0985,,,Dog Store,Sean@DogRiches.Com,,,ON,Toronto,710 Humberwood Blvd,M9W 7J5,,,,Sean@DogRiches.Com,dogriches.com,,43.7247871,-79.6161109,https://www.facebook.com/HappyLife-Dog-Lover-110735640719522,https://www.instagram.com/happylife.dog.lover,,
Dog Waste bags,604-354-8726,,,Dog Store,,,,BC,Vancouver,1068 Hornby St #602,,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Dog%20Waste%20bags&query_place_id=ChIJudLkGgNzhlQRykJO0yrtbLM,,,,,,
Dogfather & Co. Rosedale,416-960-1088,,,Dog Store,,,,ON,Toronto,1007 Yonge St,M4W 2K9,,,,UNREACHABLE,dogfatherandco.com,,43.6772126,-79.3894126,https://www.facebook.com/dogfatherandco,https://www.instagram.com/dogfatherandco,,
Doggie Basics,416-727-9660,,VM,Dog Store,info@doggiebasics.com,,,ON,Markham,10900 Warden Ave,L6C 1N3,,,,info@doggiebasics.com,doggiebasics.com,,,,,,,
Doggie Detailing,613-394-5757,,,Dog Store,"Doggiedetailing.QW@gmail.com, anapbm@gmail.com, hi@typemade.mx, info@ndiscovered.com",,,ON,Trenton,391 Dundas St. W,K8V 3S4,,,,"Doggiedetailing.QW@gmail.com, anapbm@gmail.com, hi@typemade.mx, info@ndiscovered.com",doggie-detailing.ca,,,,,,,
Doggieville,905-953-9136,,,Dog Store,,,,ON,Newmarket,1166 Gorham Street,L3Y 8Y9,,,,INVALID_URL,,"https://maps.google.com/maps?q=44.0572445,-79.4258173",,,,,,
Doggone Wonderful Pet Spa,905-936-5558,,,Dog Store,,,,ON,Tottenham,5 Queen Street North,L0G 1W0,,,,UNREACHABLE,doggonewonderful.ca,,,,,,,
Doggy Haute Couture,236-514-9884,,,Dog Store,,,,BC,Vancouver,1010 Richards St,,,,,NONE_FOUND,doggyhautecouture.com,,,,,,,
